case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error,raw_output
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,asylum_requested,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,withholding_requested,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,CAT_requested,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,credibility_finding,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,512311,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,asylum_requested,True,Hernandez conceded removability and sought cancellation of removal under 8 U.S.C. § 1229b(a) (LPR cancellation) and asylum.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,withholding_requested,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,CAT_requested,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_political_opinion,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_particular_social_group,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_physical_violence,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_death_threats,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,credibility_finding,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,3644,,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,nexus_requirement_met,False,Not mentioned in the opinion.,3644,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,asylum_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",151890,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,withholding_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",151890,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,CAT_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",151890,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,151890,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,True,"Nguyen insisted that he feared returning to Vietnam because he is a member of two proposed particular social groups, including ""known drug users"".",151890,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,151890,,
